Route Code,Fly along
NIXAL-VHHH,NIXAL G343 TMR B458 DADGA W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA
NIXAL-TAMOT,NIXAL G343 TMR B458 DADGA W37 OMBEB R473 WYN W18 TAMOT
NIXAL-SAGAG,NIXAL B208 EKETA B215 GODON  W43 ATERI W193 WJC G212 SGM A581 SAGAG
NIXAL-SADLI,NIXAL B208 PAMRUO W129 KAMDA W128 FYG B208 HFE R343 PK W116 JTN G327 LAMEN A593 SADLI
MPSMS-VHHH,MAGIT R213 JMU G212 VYK W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA/POLHO G218 TMR B458 DADGA W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA/SIMLI A588 HRB G212 VYK W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA/MORIT B330 KWE W181 DUDIT A599 POU R473 SIERA/SADLI A593 PUD A599 NXD W131 AKDIM A470 DUBGO W134 ELNEX A599 PLT W19 NOMAR W18 NLG W23 ZUH R473 SIERA
MPSMS-TAMOT,MAGIT R213 JMU G212 VYK W37 OMBEB R473 WYN W18 TAMOT/POLHO G218 TMR B458 DADGA W37 OMBEB R473 WYN W18 TAMOT/SIMLI A588 HRB G212 VYK W37 OMBEB R473 WYN W18 TAMOT/MORIT B330 KWE W181 DUDIT A599 POU B330 TAMOT/SADLI A593 PUD A599 NXD W131 AKDIM A470 DUBGO W134 ELNEX A599 PLT W19 NOMAR W18 TAMOT
MORIT-VMMC,MORIT B330 KWE W181 DUDIT A599 POU W7 SAREX W6 LATOP
MORIT-VHHH,MORIT B330 KWE W181 DUDIT A599 POU R473 SIERA
MORIT-TAMOT,MORIT B330 KWE W181 DUDIT A599 POU B330 TAMOT
MORIT-SAGAG,MORIT B330 UBKER G212 SGM A581 SAGAG
MORIT-LINSO,MORIT B330 UBKER G212 SGM A599 LINSO
MORIT-KATBO,MORIT B330 UBKER G212 SGM A599 ADBAG R471 KATBO
MN-VHHH,MORIT B330 KWE W181 DUDIT A599 POU R473 SIERA/NIXAL G343 TMR B458 DADGA W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA
MN-TAMOT,MORIT B330 KWE W181 DUDIT A599 POU B330 TAMOT/NIXAL G343 TMR B458 DADGA W37 OMBEB R473 WYN W18 TAMOT
MAGOG-SADLI,MAGOG A470 TOL A599 JTN G327 LAMEN A593 SADLI
MAGIT-VHHH,MAGIT R213 JMU G212 VYK W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA
MAGIT-TAMOT,MAGIT R213 JMU G212 VYK W37 OMBEB R473 WYN W18 TAMOT
MAGIT-AGAVO,MAGIT R213 JMU G212 HRB A588 CHI W107 SANKO A326 DONVO G597 AGAVO
LINSO-WHA-SADLI,LINSO A599 SGM A581 WHA R343 PK W116 JTN G327 LAMEN A593 SADLI
LINSO-VMMC,LINSO A599 POU W7 SAREX W6 LATOP
LINSO-VHHH,LINSO A599 POU R473 SIERA
LINSO-TAMOT,LINSO A599 POU B330 TAMOT
SAGAG-G470-RULAD,SAGAG A581 SGM W144 IGNAK W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG B215 KABDO W119 GOBOK A343 RULAD
LINSO-SADLI,LINSO A599 POU G471 PLT A599 JTN G327 LAMEN A593 SADLI
SADLI-TEBAK,SADLI A593 PUD A599 NXD W131 AKDIM A470 DUBGO W134 ELNEX A599 GYA R474 TEBAK
LINSO-SARIN,LINSO A599  SGM W144 IGNAK W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG A368 SARIN
LINSO-MORIT,LINSO A599  SGM W144 IGNAK W179 OMBON B330 MORIT
KATBO-MORIT,KATBO R471 ADBAG A599 SGM W144 IGNAK W179 OMBON B330 MORIT
SADLI-WHA-TEBAK,SADLI A593 PK R343 MADUK W51 LEGIV W164 ADGOL W50 XSH W80 UDUMI W37 OLMIB W83 GOSMA R343 WUY R474 TEBAK
KAMUD-Y1-VHHH,KAMUD W186 SADAN Y1 OMBON B330 KWE W181 DUDIT A599 POU R473 SIERA
KAMUD-Y1-TAMOT,KAMUD W186 SADAN Y1 OMBON B330 KWE W181 DUDIT A599 POU B330 TAMOT
KAMUD-VHHH,KAMUD A468 XKC B215 FKG W188 GOVSA W66 GOBIN B330 KWE W181 DUDIT A599 POU R473 SIERA
KAMUD-TAMOT,KAMUD A468 XKC B215 FKG W188 GOVSA W66 GOBIN B330 KWE W181 DUDIT A599 POU B330 TAMOT
KAMUD-SAGAG,KAMUD W186 SADAN W187 TUSLI W112 VIKUP W191 DNC W565 XIXAN B330 UBKER G212 SGM A581 SAGAG
KAMUD-G470-VHHH,KAMUD A468 XKC B215 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA
KAMUD-G470-TAMOT,KAMUD A468 XKC B215 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT
KAMUD-AGAVO,KAMUD A468 XKC B215 FKG W188 GOVSA W66 DKO W69 HUR B339 LADIX W34 VAPGU W100 ORAVA W201 UNSEK A326 DONVO G597 AGAVO
INTIK-VHHH,INTIK A575 LHT B458 DADGA W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA
INTIK-TAMOT,INTIK A575 LHT B458 DADGA W37 OMBEB R473 WYN W18 TAMOT
INTIK-SADLI,INTIK W32 HET B208 PAMRUO W129 KAMDA W128 FYG B208 HFE R343 PK W116 JTN G327 LAMEN A593 SADLI
