Route Code,Destination AD,Fly along,
ZGGG-SIERA-01,HAAB KSFO NFFN NZAA NZCH PGSN RKSI RKSM RKSS ROAH RONA RPLB RPLC RPLI RPLL RPMM RPVE RPVK RPVM VDPP VDSA VDSR VDSV VVCR VVDN VVTS WADD WAMM WBKK WBKK WBSB WIDD WIHH WIII WMKJ WMKK WMKL WMKM WMKP WRSJ WSAP WSSL WSSS YBBN YBCS YMML YPAD YPPH YSSY,VIBOS R473 SIERA,
ZGGG-SIMLI-01,CYVR CYYZ KBFI KEWR KIND KJFK KLAX KLGA KMDW KMEM KORD KPAE KSEA KSFO PAED PANC,MIKIP A461 BUBDA W56 VYK G212 SOTMU B339 HUR B334 TGO G212 HRB A588 SIMLI,
ZGGG-TEBAK-01,OTBD OTHH VIDP VLLB VLVT VTCA VTCC VTCT VVCI VVDN VVNB VYYY,VIBOS R473 ZUH R200 LH R339 WUY R474 TEBAK,
ZGGG-TOMUK-01,ZKPY,LMN G471 PLT A599 JTN G327 TONIX A326 SANKO B332 TOMUK,
ZGHA-AGAVO-01,RKSI RKSM RKSS,OPORU W56 VADMO W4 IKEKA A591 AGAVO,
ZGHA-ARGUK-01,KLAX KSFO PAED PANC,OPORU W56 VYK G212 SOTMU B339 HUR B334 TGO G212 ARGUK,
ZGHA-BISUN-01,UHWW,OPORU W56 VYK G212 SOTMU B339 HUR B334 TGO G341 WQG B451 BISUN,
ZGHA-LAMEN-01,PAED PANC RJAA RJAH RJBB RJBD RJOO RJTT RJTY RKPK RKSI RKSM RKSS,OPORU W56 IDPOG A581 WHA R343 PK W116 JTN G327 LAMEN,
ZGHA-LINSO-01,OPIS VIDP VNKT VOMM VYMD VYYY,LLC W138 DYG W140 HUY A581 QNX W136 XISLI A581 SGM A599 LINSO,
ZGHA-NIXAL-01,EBBR EBCI EBLG EDDF ULLI UNNT UUDD UUEE UUMO UUWW,OPORU W56 OBMEP B208 NIXAL,
ZGHA-TAMOT-01,NZAA PGSN RPLC RPLL RPMM RPVE RPVK RPVM VVCR VVDN VVTS WADD WADL WAMM WBKK WBSB WIDD WIHH WIII WMKJ WMKK WMKL WMKP WSAP WSSL WSSS YMML YSSY,APESO W615 IDAXI R473 WYN W18 TAMOT,
ZGHA-TEBAK-01,HKJK VDPP VDSA VDSR VDSV VLLB VLVT VTBD VTBS VTBU VTCA VTCC VTCT VTSB VTSG VTSP VVCI VVCR VVNB VVTS VVVD,PUKAD R343 WUY R474 TEBAK,
ZGKL-LAMEN-01,RJBB RJFF RJOO RKSI RKSM RKSS,ONEMI R343 GOSMA W82 UPMAT W56 IDPOG A581 WHA R343 PK W116 JTN G327 LAMEN,
ZGKL-TAMOT-01,WADD,QP B330 TAMOT,
ZGKL-TEBAK-01,VDSA VDSR VTBD VTBS VTSG VTSP VVTS WIHH WIII WMKK WSAP WSSL WSSS,MOTOM W2 LBN R343 WUY R474 TEBAK,
ZGNN-BUNTA-01,WADD,WUY R339 BHY W70 NYB G221 BUNTA,
ZGNN-LAMEN-01,RJAA RJBB RJNS RJOO RJTT RJTY RKPC RKSI RKSM RKSS,WUY R343 GOSMA W82 UPMAT W56 IDPOG A581 WHA R343 PK W116 JTN G327 LAMEN,
ZGNN-LINSO-01,VYYY,WUY R339 BSE A599 LINSO,
ZGNN-TAMOT-01,RPLL RPMM,WUY R474 GYA B330 TAMOT,
ZGNN-TEBAK-01,VDPP VDSA VDSR VLVT VTBD VTBS VTBU VTCC VTSG VTSP VVCR VVDN VVNB VVTS VYYY WIHH WIII WMKK WSAP WSSL WSSS,WUY R474 TEBAK,
ZGOW-LAMEN-01,RJBB RJGG RJNA RJNS RJOO RKPC RKSI RKSM RKSS RORS,VETIB W155 TEBON A470 TOL A599 JTN G327 LAMEN,
ZGOW-MAGOG-01,RPLL RPMM RPVK RPVM VDPP VDSA VDSR VDSV VTBD VTBS VTSG VTSP VVCR VVDN WADD WBKK WBSB WMKK WMKP WSAP WSSL WSSS,DOTMI A470 MAGOG,
ZGSZ-ARGUK-01,CYVR KBFI KBOS KEWR KJFK KLAX KLGA KMDW KORD KPAE KSEA PAED PANC,MIPAG W21 NUSLA W22 YIN A461 BUBDA W56 VYK G212 SOTMU B339 HUR B334 TGO G212 ARGUK,
ZGSZ-ASSAD-01,FIMP VLVT VOBG VOBL VOMM VRMM VTBD VTBS VTCA VTCC VTCT VTSB VTSG VTSP WMKP,NLG W23 ZUH R473 SIERA SIKOU A202 ASSAD,
ZGSZ-ASSAD-02,FAOR HKJK VDPP VDSV VTBD VTBS VTBU VTSP,NLG W23 ZUH R200 BIGRO G221 SAMAS A202 ASSAD,
ZGSZ-BISUN-01,UHWW,MIPAG W21 NUSLA W22 YIN A461 BUBDA W56 VYK G212 SOTMU B339 HUR B334 TGO G341 WQG B451 BISUN,
ZGSZ-GOPTO-01,ELLX,MIPAG W21 NUSLA W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG G588 NIRAV B206 GOPTO,
ZGSZ-GOPTO-02,ELLX,MIPAG W21 NUSLA W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 QTV W190 ADPET B206 GOPTO,
ZGSZ-INTIK-01,UIII,MIPAG W21 NUSLA W22 YIN A461 BUBDA W56 OBMEP B208 HET W32 INTIK,
ZGSZ-LAMEN-01,CYVR KBFI KLAX KMDW KMEM KORD KPAE KSEA MMMX MMTJ PAED PANC RJAA RJAH RJBB RJCC RJCO RJFF RJFS RJGG RJNA RJNS RJOO RJSS RJTT RJTY RKPC RKPK RKSI RKSM RKSS ROAH RONA,KEVAR W501 IDUMA W22 SHL G471 PLT A599 JTN G327 LAMEN,
ZGSZ-LAMEN-02,KBFI KPAE KSEA,GUBLO R200 BEBEM A470 LJG B221 DST W117 BEGMO W13 LASAN G327 LAMEN,
ZGSZ-LINSO-01,HECA HKJK LLBG OBBI OBBS OERK OERY OIIE OIII OMDB OMDW OMSJ OPKC OPLA VABB VECC VGHS VIDP VNKT VOMM VYMD VYYY,NLG KIBAS R200 LH R339 BSE A599 LINSO,
ZGSZ-LKC-01,RJCC RJCO RPLB RPLC RPLL RPMM VVTS WBKK WIHH WIII WMKK WMKP WMSA WSAP WSSL WSSS YMML YSSY,ZGSZ LKC,
ZGSZ-MORIT-01,EBBR EBCI EDDF EGAE EGGW EGKK EGLL EGSS EHAM EIDW GMMN LEBL LEMD LETO LFAT LFPB LFPG LFPO LIRA LIRF LOWW LSZH,MIPAG W21 NUSLA W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 MORIT,
